"2-к квартира, 48.6 м2, 5/5 эт.",2800000,57613.17,48.6,"Суконная слобода 3.7 км, Казань, Республика Татарстан, улица Николая Ершова, 78",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_48.6_m_55_et._1555437131,5.0,   Вчера 09:46  
"1-к квартира, 38 м2, 12/19 эт.",2820000,74210.53,38.0,"Горки 500 м, Республика Татарстан, Казань, Советский район",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38_m_1219_et._1102428926,19.0,   Вчера 11:38  
"1-к квартира, 39.9 м2, 10/12 эт.",2834320,71035.59,39.9,"Горки 2.3 км, Республика Татарстан, Казань, улица Аделя Кутуя",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39.9_m_1012_et._1146688055,12.0,   Сегодня 08:39  
"1-к квартира, 39.9 м2, 11/12 эт.",2834320,71035.59,39.9,"Горки 2.2 км, ул. Аделя Кутуя, стр. В",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39.9_m_1112_et._1447341979,12.0,   Вчера 17:06  
"1-к квартира, 40 м2, 8/12 эт.",2835000,70875.0,40.0,"Горки 2.2 км, ул. Аделя Кутуя, стр. В",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40_m_812_et._1277479561,12.0,   Вчера 17:40  
"2-к квартира, 52 м2, 5/10 эт.",2850000,54807.69,52.0,"Аметьево 2.8 км, Авангардная 143",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_52_m_510_et._843812819,10.0,   Сегодня 08:12  
"1-к квартира, 40 м2, 2/24 эт.",2850000,71250.0,40.0,"Горки 2.4 км, Республика Татарстан, Казань, Советский район, жилой комплекс Победа",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40_m_224_et._1114176132,24.0,   Вчера 16:09  
"2-к квартира, 43 м2, 5/12 эт.",2850000,66279.07,43.0,"Суконная слобода 3.1 км, Аделя Кутуя улица, 108/1",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43_m_512_et._1647884911,12.0,   Вчера 15:18  
"1-к квартира, 39.8 м2, 6/9 эт.",2850000,71608.04,39.8,"Горки 3.2 км, улица Академика Сахарова, 13",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39.8_m_69_et._1174198171,9.0,   Вчера 13:15  
"1-к квартира, 44 м2, 9/10 эт.",2880000,65454.55,44.0,"Аметьево 4.7 км, Казань, Республика Татарстан, улица Зур Урам, 1К",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_44_m_910_et._1600691887,10.0,   Вчера 22:03  
"1-к квартира, 44 м2, 9/10 эт.",2880000,65454.55,44.0,"Аметьево 4.7 км, Казань, Республика Татарстан, улица Зур Урам, 1К",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_44_m_910_et._1600691887,10.0,   Вчера 22:03  
"1-к квартира, 35 м2, 4/10 эт.",2880000,82285.71,35.0,"Горки 5.1 км, Казань, Республика Татарстан, улица Азата Аббасова, 10",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_410_et._1430779592,10.0,   Вчера 12:31  
"2-к квартира, 44.2 м2, 5/5 эт.",2890000,65384.62,44.2,"Площадь Тукая 2.2 км, ул. Меховщиков д.2а",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_44.2_m_55_et._1370386628,5.0,   Вчера 15:55  
"1-к квартира, 39.8 м2, 8/14 эт.",2890000,72613.07,39.8,"Горки 2.5 км, пр. Победы, д. 139, к. 1",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39.8_m_814_et._1479685639,14.0,   Вчера 15:47  
"1-к квартира, 41.2 м2, 13/16 эт.",2890000,70145.63,41.2,"Горки 500 м, Республика Татарстан, Казань, Советский район",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41.2_m_1316_et._1258058065,16.0,   Вчера 12:12  
"1-к квартира, 39 м2, 1/9 эт.",2900000,74358.97,39.0,"Горки 2.8 км, Закиева, 9",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39_m_19_et._1724419385,9.0,   Вчера 13:48  
"2-к квартира, 43 м2, 2/5 эт.",2900000,67441.86,43.0,"Суконная слобода 1.6 км, Казань, Республика Татарстан, улица Красной Позиции, 29А",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43_m_25_et._1416024463,5.0,   Вчера 09:36  
"1-к квартира, 41.4 м2, 17/19 эт.",2904600,70159.42,41.4,"Горки 1.3 км, ул. Профессора Камая, д. 10, корп. 1",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41.4_m_1719_et._1283961066,19.0,   Вчера 23:30  
"1-к квартира, 43 м2, 7/12 эт.",2910480,67685.58,43.0,"Аметьево 2 км, Аделя Кутуя улица, 108/1",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43_m_712_et._1266306878,12.0,   Вчера 15:18  
"1-к квартира, 41.3 м2, 6/19 эт.",2911000,70484.26,41.3,"Горки 1.3 км, Казань, Республика Татарстан, улица Профессора Камая, 10к2",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41.3_m_619_et._1255089042,19.0,   Сегодня 07:45  
"1-к квартира, 41.4 м2, 17/19 эт.",2918700,70500.0,41.4,"Горки 1.3 км, Республика Татарстан, Казань, улица Профессора Камая, 10к3",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41.4_m_1719_et._1403675147,19.0,   Сегодня 08:32  
"1-к квартира, 49 м2, 20/20 эт.",2940000,60000.0,49.0,"Горки 1 км, ул. Мавлютова, стр. 1",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_49_m_2020_et._1118621685,20.0,   Вчера 15:30  
"2-к квартира, 46.7 м2, 4/5 эт.",2945000,63062.1,46.7,"Аметьево 300 м, Казань, Республика Татарстан, Даурская улица, 9",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_46.7_m_45_et._1027325673,5.0,   Вчера 15:44  
"1-к квартира, 41.3 м2, 7/7 эт.",2950000,71428.57,41.3,"Горки 4.4 км, Республика Татарстан, Казань, переулок Дуслык, 6",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41.3_m_77_et._1519546421,7.0,   Вчера 20:25  
"1-к квартира, 40 м2, 2/24 эт.",2980000,74500.0,40.0,"Горки 2.3 км, пр. Победы, 2 очередь",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40_m_224_et._1409760621,24.0,   Вчера 11:44  
"1-к квартира, 44 м2, 10/12 эт.",2990000,67954.55,44.0,"Горки 2.3 км, Республика Татарстан, Казань, улица Аделя Кутуя",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_44_m_1012_et._1434839801,12.0,   Сегодня 08:03  
"1-к квартира, 53 м2, 5/5 эт.",2990000,56415.09,53.0,"Горки 7.4 км, Казань, Республика Татарстан, Интернациональная улица, 25А",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_53_m_55_et._1318985603,5.0,   Вчера 14:18  
"1-к квартира, 43.4 м2, 11/12 эт.",2997360,69063.59,43.4,"Горки 2.3 км, Республика Татарстан, Казань, улица Аделя Кутуя",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43.4_m_1112_et._970989015,12.0,   Сегодня 08:35  
"1-к квартира, 43.4 м2, 10/12 эт.",2997360,69063.59,43.4,"Горки 2.3 км, Республика Татарстан, Казань, улица Аделя Кутуя",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43.4_m_1012_et._1336852749,12.0,   Сегодня 07:50  
"1-к квартира, 38.5 м2, 5/10 эт.",3000000,77922.08,38.5,"Суконная слобода 4.8 км, ул. Академика Губкина, д. 1",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38.5_m_510_et._1559837030,10.0,   Вчера 14:59  
"1-к квартира, 46 м2, 3/12 эт.",3043920,66172.17,46.0,"Суконная слобода 3.1 км, ул. Аделя Кутуя, жилые дома",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_46_m_312_et._1572720494,12.0,   Вчера 19:19  
"1-к квартира, 37 м2, 16/24 эт.",3049000,82405.41,37.0,"Аметьево 1 км, Казань, Республика Татарстан, Оренбургский тракт, 8",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37_m_1624_et._1639948888,24.0,   Вчера 17:27  
"2-к квартира, 48.3 м2, 5/5 эт.",3070000,63561.08,48.3,"Площадь Тукая 1.6 км, ул Карима Тинчурина, 23",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_48.3_m_55_et._1681095434,5.0,   Сегодня 08:37  
"1-к квартира, 43.6 м2, 6/19 эт.",3073000,70481.65,43.6,"Горки 1.3 км, ул. Профессора Камая, д. 10, к. 2",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43.6_m_619_et._1569533547,19.0,   Вчера 13:07  
"2-к квартира, 48 м2, 1/12 эт.",3080000,64166.67,48.0,"Горки 2.2 км, Республика Татарстан, Казань, Советский район",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_48_m_112_et._1300592005,12.0,   Вчера 14:03  
"2-к квартира, 46 м2, 2/5 эт.",3090000,67173.91,46.0,"Площадь Тукая 1.2 км, Республика Татарстан, Казань, улица Сары Садыковой",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_46_m_25_et._1155683859,5.0,   Вчера 17:40  
"1-к квартира, 43 м2, 1/9 эт.",3090000,71860.47,43.0,"Кремлёвская 3.6 км, Республика Татарстан, Казань, микрорайон Адмиралтейская Слобода, Большая улица, 108А",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43_m_19_et._1303574155,9.0,   Вчера 10:01  
"1-к квартира, 45 м2, 5/18 эт.",3090000,68666.67,45.0,"Площадь Тукая 700 м, Республика Татарстан, Казань, улица Тыныч, 3",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_45_m_518_et._1306590524,18.0,   Вчера 09:50  
"1-к квартира, 43.5 м2, 12/16 эт.",3099000,71241.38,43.5,"Аметьево 1 км, Оренбургский тракт, стр. 3",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43.5_m_1216_et._1135367007,16.0,   Вчера 12:08  
"2-к квартира, 46 м2, 4/5 эт.",3100000,67391.3,46.0,"Суконная слобода 4 км, Казань, Республика Татарстан, улица Космонавтов, 7",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_46_m_45_et._1623215015,5.0,   Вчера 18:27  
"1-к квартира, 43.5 м2, 8/14 эт.",3100000,71264.37,43.5,"Горки 3.4 км, Казань, Республика Татарстан, улица Академика Сахарова, 20",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43.5_m_814_et._1303470937,14.0,   Вчера 18:03  
"2-к квартира, 46 м2, 4/5 эт.",3100000,67391.3,46.0,"Суконная слобода 4 км, Казань, Республика Татарстан, улица Космонавтов, 7",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_46_m_45_et._1623215015,5.0,   Вчера 18:27  
"1-к квартира, 43 м2, 9/12 эт.",3100000,72093.02,43.0,"Горки 2.8 км, микрорайон Азино-1, Казань, Республика Татарстан, улица Закиева, 5",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43_m_912_et._975941918,12.0,   Вчера 16:04  
"1-к квартира, 34 м2, 3/5 эт.",3100000,91176.47,34.0,"Суконная слобода 900 м, Казань, Республика Татарстан, улица Рабочей Молодежи, 11",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_34_m_35_et._1083245791,5.0,   Вчера 16:01  
"1-к квартира, 44 м2, 5/10 эт.",3100000,70454.55,44.0,"Суконная слобода 4.8 км, ул. Академика Губкина, д. 1",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_44_m_510_et._1662418810,10.0,   Вчера 15:00  
"1-к квартира, 42 м2, 11/19 эт.",3100000,73809.52,42.0,"Горки 4 км, Казань, Республика Татарстан, проспект Победы, 184",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_42_m_1119_et._1460967908,19.0,   Вчера 13:55  
"1-к квартира, 43 м2, 9/12 эт.",3100000,72093.02,43.0,"Горки 2.8 км, микрорайон Азино-1, Казань, Республика Татарстан, улица Закиева, 5",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43_m_912_et._975941918,12.0,   Вчера 16:04  
