"1-комн. квартира, 46 м2, 3/12 эт.",3 043 920,66172,"ул. Аделя Кутуя, жилые дома, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258336683
"1-комн. квартира, 34 м2, 9/9 эт.",2 250 000,66176,"Казань, Республика Татарстан, улица Короленко, 77, Ново-Савиновский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258194834
"1-комн. квартира, 34 м2, 3/5 эт.",2 250 000,66176,"Казань, Республика Татарстан, улица Восстания, 61, Московский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258224973
"1-комн. квартира, 35.5 м2, 2/5 эт.",2 350 000,66197,"Казань, Республика Татарстан, Мало-Московская улица, 14А, Кировский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-255629907
"1-комн. квартира, 45 м2, 8/17 эт.",2 980 000,66222,"ул. Краснококшайская, блок Д, Кировский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-255750449
"1-комн. квартира, 39 м2, 16/23 эт.",2 584 000,66256,"Республика Татарстан, Казань, Гвардейская улица, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257715830
"1-комн. квартира, 34.7 м2, 5/9 эт.",2 300 000,66282,"Батыршина, 23, Московский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258051435
"1-комн. квартира, 44 м2, 15/18 эт.",2 920 000,66364,"пр. Победы, 2 очередь, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-255461468
"1-комн. квартира, 39 м2, 3/12 эт.",2 596 000,66564,"ул. Аделя Кутуя, жилые дома, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257121189
"1-комн. квартира, 39 м2, 7/12 эт.",2 597 000,66590,"Аделя Кутуя 108, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256551378
"1-комн. квартира, 33 м2, 5/5 эт.",2 199 000,66636,"Шамиля Усманова, 29, Московский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258232900
"1-комн. квартира, 39 м2, 1/10 эт.",2 599 000,66641,"Казань, Республика Татарстан, Ломжинская улица, 6, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257696345
"1-комн. квартира, 39 м2, 7/19 эт.",2 600 000,66667,"Казань, Республика Татарстан, улица Профессора Камая, 10к2, подъезд 2, Приволжский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257473939
"1-комн. квартира, 39 м2, 7/12 эт.",2 600 000,66667,"Адель кутуя 108, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257790424
"1-комн. квартира, 39 м2, 8/23 эт.",2 600 000,66667,"Республика Татарстан, Казань, м. Аметьево, жилой комплекс Голливуд, м. Аметьево, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-255732038
"1-комн. квартира, 39 м2, 10/23 эт.",2 600 400,66677,"ул. Гвардейская, стр. А, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256312412
"1-комн. квартира, 43 м2, 5/12 эт.",2 870 000,66744,"Аделя Кутуя улица, 108/1, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257299208
"1-комн. квартира, 44.4 м2, 16/19 эт.",2 969 000,66869,"ул. Гвардейская, стр. 1, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-196506113
"1-комн. квартира, 39 м2, 8/23 эт.",2 609 000,66897,"Республика Татарстан, Казань, жилой комплекс Голливуд, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256566383
"1-комн. квартира, 39.1 м2, 17/23 эт.",2 616 000,66905,"Республика Татарстан, Казань, Советский район, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258167490
"1-комн. квартира, 38.4 м2, 4/22 эт.",2 570 000,66927,"Республика Татарстан, Казань, улица Кул Гали, 34, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257650741
"1-комн. квартира, 38 м2, 7/19 эт.",2 546 000,67000,"Аделя Кутуя улица, 108, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257008266
"1-комн. квартира, 39 м2, 9/22 эт.",2 613 000,67000,"ул. Гвардейская, 2 очередь, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-215832635
"1-комн. квартира, 44.7 м2, 12/19 эт.",2 994 900,67000,"ул. Гвардейская, стр. 1, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-254715325
"1-комн. квартира, 45 м2, 10/19 эт.",3 015 000,67000,"ул. Гвардейская, 2 очередь, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-187165075
"1-комн. квартира, 38.8 м2, 6/12 эт.",2 600 000,67010,"ул. Аделя Кутуя, стр. В, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-253155160
"1-комн. квартира, 38.2 м2, 4/9 эт.",2 560 000,67016,"Республика Татарстан, Казань, улица Юлиуса Фучика, 71, Приволжский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-210288552
"1-комн. квартира, 38.2 м2, 4/10 эт.",2 560 000,67016,"ул Юлиуса Фучика, 71, Приволжский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-211904706
"1-комн. квартира, 46.1 м2, 3/10 эт.",3 090 000,67028,"ул. Аделя Кутуя, стр. В, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256913154
"1-комн. квартира, 38.9 м2, 20/23 эт.",2 609 650,67086,"Республика Татарстан, Казань, Советский район, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258199965
"1-комн. квартира, 36.8 м2, 7/9 эт.",2 470 000,67120,"Казань, Республика Татарстан, улица Юлиуса Фучика, 54, Приволжский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-232537229
"1-комн. квартира, 44 м2, 14/19 эт.",2 954 000,67136,"Казань, Республика Татарстан, Гвардейская улица, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257401297
"1-комн. квартира, 38.5 м2, 3/3 эт.",2 585 000,67143,"улица Серп и Молот, 22, Кировский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257633420
"1-комн. квартира, 46 м2, 10/12 эт.",3 090 000,67174,"Аделя Кутуя улица, 108/1, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256869006
"1-комн. квартира, 32 м2, 4/5 эт.",2 150 000,67188,"Республика Татарстан, Казань, Халева 5, Приволжский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257299014
"1-комн. квартира, 32 м2, 2/5 эт.",2 150 000,67188,"Казань, Республика Татарстан, улица Академика Королёва, 22, Московский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256530626
"1-комн. квартира, 32 м2, 1/5 эт.",2 150 000,67188,"улица Восстания, 51, Московский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257176831
"1-комн. квартира, 32 м2, 1/5 эт.",2 150 000,67188,"Республика Татарстан, Казань, улица Гагарина, Ново-Савиновский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258113608
"1-комн. квартира, 43 м2, 11/12 эт.",2 890 000,67209,"Республика Татарстан, Казань, проспект Победы, 100, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-253576718
"1-комн. квартира, 39 м2, 2/9 эт.",2 630 000,67436,"Казань, Республика Татарстан, улица Юлиуса Фучика, 129, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256571567
"1-комн. квартира, 32 м2, 3/5 эт.",2 160 000,67500,"Казань, Республика Татарстан, улица Чкалова, 7, Кировский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258350282
"1-комн. квартира, 37 м2, 1/9 эт.",2 499 000,67541,"ул Закиева 21, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256884971
"1-комн. квартира, 37 м2, 2/5 эт.",2 500 000,67568,"ул Юлиуса Фучика, 12, Приволжский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-172640764
"1-комн. квартира, 37 м2, 2/9 эт.",2 500 000,67568,"Казань, Республика Татарстан, 2-я Юго-Западная улица, Кировский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256881195
"1-комн. квартира, 37 м2, 23/25 эт.",2 500 000,67568,"Республика Татарстан, Казань, жилой комплекс Сказочный лес, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257830385
